"State","Code"
Alabama,AL
Alaska,AK
American Samoa,AS
Arizona,AZ
Arkansas,AR
California,CA
Colorado,CO
Connecticut,CT
Delaware,DE
District of Columbia,DC
Florida,FL
Nebraska,NE
Trust Territories,TT
Georgia,GA
Guam,GU
New Hampshire,NH
Vermont,VT
Hawaii,HI
Idaho,ID
New Mexico,NM
Virgin Islands,VI
Illinois,IL
Indiana,IN
North Carolina,NC
West Virginia,WV
Iowa,IA
Kansas,KS
Northern Mariana Islands,MP
Wyoming,WY
Kentucky,KY
Louisiana,LA
Maine,ME
Maryland,MD
Massachusetts,MA
Michigan,MI
Minnesota,MN
Mississippi,MS
Missouri,MO
Montana,MT
Nevada,NV
New Jersey,NJ
New York,NY
North Dakota,ND
Ohio,OH
Oklahoma,OK
Oregon,OR
Pennsylvania,PA
Puerto Rico,PR
Rhode Island,RI
South Carolina,SC
South Dakota,SD
Tennessee,TN
Texas,TX
Utah,UT
Virginia,VA
Washington,WA
Wisconsin,WI
