"City","State","ZipCode","Zip4Code"
ADJUNTAS,PR,00601,9998
AGUADA,PR,00602,9998
AGUADILLA,PR,00603,9998
AGUADILLA,PR,00603,9996
AGUADILLA,PR,00603,9998
AGUADILLA,PR,00603,9997
MARICAO,PR,00606,9998
ANASCO,PR,00610,2947
ANGELES,PR,00611,9998
ARECIBO,PR,00612,9998
ARECIBO,PR,00612,1997
ARECIBO,PR,00612,9996
ARECIBO,PR,00612,9998
BAJADERO,PR,00616,9800
BARCELONETA,PR,00617,9998
BOQUERON,PR,00622,9997
CABO ROJO,PR,00623,9998
PENUELAS,PR,00624,9998
CAMUY,PR,00627,9998
CASTANER,PR,00631,9997
SABANA GRANDE,PR,00637,9998
CIALES,PR,00638,9998
UTUADO,PR,00641,9998
DORADO,PR,00646,9997
ENSENADA,PR,00647,9998
FLORIDA,PR,00650,9998
GARROCHALES,PR,00652,9997
GUANICA,PR,00653,9998
GUAYANILLA,PR,00656,9998
HATILLO,PR,00659,9998
HORMIGUEROS,PR,00660,9998
ISABELA,PR,00662,3669
JAYUYA,PR,00664,9998
LAJAS,PR,00667,9998
LARES,PR,00669,9998
LAS MARIAS,PR,00670,9998
MANATI,PR,00674,9998
MOCA,PR,00676,9842
MOCA,PR,00676,9998
RINCON,PR,00677,9998
QUEBRADILLAS,PR,00678,9998
MAYAGUEZ,PR,00682,9996
MAYAGUEZ,PR,00680,9998
MAYAGUEZ,PR,00682,9996
MAYAGUEZ,PR,00680,9998
MAYAGUEZ,PR,00682,9996
SAN GERMAN,PR,00683,9998
SAN SEBASTIAN,PR,00685,9996
SAN SEBASTIAN,PR,00685,9994
SAN SEBASTIAN,PR,00685,9998
MOROVIS,PR,00687,9998
SABANA HOYOS,PR,00688,9591
SAN ANTONIO,PR,00690,1216
VEGA ALTA,PR,00692,9431
VEGA ALTA,PR,00692,9998
VEGA BAJA,PR,00693,9998
VEGA BAJA,PR,00693,9998
YAUCO,PR,00698,9997
AGUAS BUENAS,PR,00703,9998
AGUIRRE,PR,00704,9998
AIBONITO,PR,00705,9998
MAUNABO,PR,00707,9998
ARROYO,PR,00714,9998
MERCEDITA,PR,00715,9998
PONCE,PR,00717,9998
PONCE,PR,00717,9998
NAGUABO,PR,00718,9998
NARANJITO,PR,00719,9998
OROCOVIS,PR,00720,9998
PALMER,PR,00721,9997
PATILLAS,PR,00723,9998
CAGUAS,PR,00725,9998
CAGUAS,PR,00725,4361
CAGUAS,PR,00725,9998
CAGUAS,PR,00725,4361
CAGUAS,PR,00725,9998
CAGUAS,PR,00725,4361
PONCE,PR,00717,9998
CANOVANAS,PR,00729,9998
PONCE,PR,00717,9998
PONCE,PR,00717,9998
PONCE,PR,00717,0656
PONCE,PR,00717,9998
PONCE,PR,00730,9996
CEIBA,PR,00735,9998
CAYEY,PR,00736,9998
CAYEY,PR,00736,9998
FAJARDO,PR,00738,9998
CIDRA,PR,00739,9998
FAJARDO,PR,00738,9998
PUERTO REAL,PR,00740,9998
HUMACAO,PR,00791,9998
PUNTA SANTIAGO,PR,00741,9998
RIO BLANCO,PR,00744,9800
RIO GRANDE,PR,00745,9998
SALINAS,PR,00751,9000
SALINAS,PR,00751,9998
SAN LORENZO,PR,00754,9998
SANTA ISABEL,PR,00757,9998
VIEQUES,PR,00765,9997
VILLALBA,PR,00766,9998
YABUCOA,PR,00767,9998
COAMO,PR,00769,3419
LAS PIEDRAS,PR,00771,9998
LOIZA,PR,00772,9998
LUQUILLO,PR,00773,9998
CULEBRA,PR,00775,9800
JUNCOS,PR,00777,9998
GURABO,PR,00778,9998
COTO LAUREL,PR,00780,9998
COMERIO,PR,00782,9998
COROZAL,PR,00783,9998
COROZAL,PR,00783,9997
GUAYAMA,PR,00784,9998
GUAYAMA,PR,00784,9998
LA PLATA,PR,00786,9997
HUMACAO,PR,00791,9998
HUMACAO,PR,00791,9998
BARRANQUITAS,PR,00794,9998
JUANA DIAZ,PR,00795,9998
ST THOMAS,VI,00802,9998
ST THOMAS,VI,00802,9994
ST THOMAS,VI,00802,9998
ST THOMAS,VI,00802,9992
ST THOMAS,VI,00802,9992
ST THOMAS,VI,00802,9995
ST THOMAS,VI,00802,9993
CHRISTIANSTED,VI,00820,9998
CHRISTIANSTED,VI,00820,9998
CHRISTIANSTED,VI,00820,9996
CHRISTIANSTED,VI,00820,9997
CHRISTIANSTED,VI,00820,9995
ST JOHN,VI,00830,9998
ST JOHN,VI,00830,9998
FREDERIKSTED,VI,00840,9998
FREDERIKSTED,VI,00840,9998
KINGSHILL,VI,00850,9998
KINGSHILL,VI,00850,9998
SAN JUAN,PR,00901,9998
SAN JUAN,PR,00901,9998
SAN JUAN,PR,00911,9998
SAN JUAN,PR,00907,9997
SAN JUAN,PR,00907,9998
SAN JUAN,PR,00911,9998
SAN JUAN,PR,00909,9998
SAN JUAN,PR,00911,9998
SAN JUAN,PR,00911,9998
SAN JUAN,PR,00911,9998
SAN JUAN,PR,00911,9998
SAN JUAN,PR,00911,9998
SAN JUAN,PR,00915,9997
SAN JUAN,PR,00918,9998
SAN JUAN,PR,00918,9998
SAN JUAN,PR,00918,9998
SAN JUAN,PR,00918,9998
SAN JUAN,PR,00918,9998
GUAYNABO,PR,00968,9997
SAN JUAN,PR,00924,9998
SAN JUAN,PR,00924,9998
SAN JUAN,PR,00924,9998
SAN JUAN,PR,00926,9998
SAN JUAN,PR,00926,9998
SAN JUAN,PR,00927,5832
SAN JUAN,PR,00925,9998
SAN JUAN,PR,00924,9998
SAN JUAN,PR,00925,9998
SAN JUAN,PR,00921,3201
SAN JUAN,PR,00918,9998
GUAYNABO,PR,00968,9997
SAN JUAN,PR,00936,9998
CAROLINA,PR,00979,9998
SAN JUAN,PR,00940,9997
TOA BAJA,PR,00949,9998
TOA BAJA,PR,00949,9998
TOA BAJA,PR,00949,9997
SABANA SECA,PR,00952,9997
TOA ALTA,PR,00953,9997
TOA ALTA,PR,00953,9997
SAN JUAN,PR,00936,9998
BAYAMON,PR,00959,9998
BAYAMON,PR,00957,9998
BAYAMON,PR,00957,9998
BAYAMON,PR,00959,9998
BAYAMON,PR,00959,9998
BAYAMON,PR,00961,6219
BAYAMON,PR,00959,9998
CATANO,PR,00962,9998
CATANO,PR,00962,9998
CATANO,PR,00962,9998
GUAYNABO,PR,00969,9998
GUAYNABO,PR,00969,9998
GUAYNABO,PR,00969,9998
GUAYNABO,PR,00969,9998
GUAYNABO,PR,00969,9998
TRUJILLO ALTO,PR,00976,9998
TRUJILLO ALTO,PR,00976,9998
SAN JUAN,PR,00926,9998
CAROLINA,PR,00983,9998
CAROLINA,PR,00979,9998
CAROLINA,PR,00983,9998
CAROLINA,PR,00983,9998
CAROLINA,PR,00983,9998
CAROLINA,PR,00979,7085
CAROLINA,PR,00983,9998
CAROLINA,PR,00985,9997
CAROLINA,PR,00983,9998
CAROLINA,PR,00983,9997
AGAWAM,MA,01001,9998
AMHERST,MA,01002,9998
AMHERST,MA,01002,9998
AMHERST,MA,01002,9997
BARRE,MA,01005,9998
BELCHERTOWN,MA,01007,9998
BLANDFORD,MA,01008,9998
BONDSVILLE,MA,01009,9998
BRIMFIELD,MA,01010,9998
CHESTER,MA,01011,9998
HUNTINGTON,MA,01050,9998
CHESTERFIELD,MA,01012,9998
CHICOPEE,MA,01020,9998
CHICOPEE,MA,01013,9998
CHICOPEE,MA,01020,9998
CHICOPEE,MA,01020,9998
CHICOPEE,MA,01020,9998
CUMMINGTON,MA,01026,9998
EASTHAMPTON,MA,01027,9998
EAST LONGMEADOW,MA,01028,9998
EAST OTIS,MA,01029,9998
AGAWAM,MA,01001,9998
FEEDING HILLS,MA,01030,9998
GILBERTVILLE,MA,01031,9998
GOSHEN,MA,01032,9998
GRANBY,MA,01033,9998
